PhraseId,SentenceId,Phrase,Sentiment
144934,7871,"An unremittingly ugly movie to look at , listen to , and think about , it is quite possibly the sturdiest example yet of why the DV revolution has cheapened the artistry of making a film .",0
137519,7440,Makes 98 minutes feel like three hours .,0
70201,3575,"-LRB- N -RRB- o matter how much good will the actors generate , Showtime eventually folds under its own thinness .",0
19954,885,"An erotic thriller that 's neither too erotic nor very thrilling , either .",0
101128,5315,"Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .",0
130295,7019,Whether Jason X is this bad on purpose is never clear .,0
33293,1560,So bland and utterly forgettable that it might as well have been titled Generic Jennifer Lopez Romantic Comedy .,0
80003,4122,The pacing is often way off and there are too many bona fide groaners among too few laughs .,0
121483,6508,"Feels at times like a giant commercial for Universal Studios , where much of the action takes place .",0
85028,4398,"I found it slow , predictable and not very amusing .",0
79349,4087,I ca n't recommend it .,0
60524,3056,"A summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution .",0
150608,8209,"Even on its own ludicrous terms , The Sum of All Fears generates little narrative momentum , and invites unflattering comparisons to other installments in the Ryan series .",0
153024,8356,"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",0
153888,8407,Terminally brain dead production .,0
117252,6256,This thing works on no level whatsoever for me .,0
102677,5409,- spy action flick with Antonio Banderas and Lucy Liu never comes together .,0
89515,4655,"Hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?",0
50049,2457,Most of the dialogue made me want to pack raw dough in my ears .,0
94607,4939,"There is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract .",0
96082,5019,A major waste ... generic .,0
151053,8234,"A frustrating ` tweener ' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls .",0
58801,2965,"Despite terrific special effects and funnier gags , Harry Potter and the Chamber of Secrets finds a way to make J.K. Rowling 's marvelous series into a deadly bore .",0
89234,4638,You 'll cry for your money back .,0
123664,6641,Nothing about the film -- with the possible exception of Elizabeth Hurley 's breasts -- is authentic .,0
73216,3739,"As it is , it 's too long and unfocused .",0
59782,3015,Sade achieves the near-impossible : It turns the Marquis de Sade into a dullard .,0
124694,6701,"Without Shakespeare 's eloquent language , the update is dreary and sluggish .",0
8745,365,"The movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates .",0
78181,4023,"It 's clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long .",0
80614,4151,The 50-something lovebirds are too immature and unappealing to care about .,0
146210,7951,"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",0
104540,5518,Crummy .,0
119981,6417,The story is bogus and its characters tissue-thin .,0
114625,6099,"A gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups .",0
88386,4593,About the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time .,0
80117,4128,"The result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's Hollywood .",0
25015,1141,"The documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .",0
110308,5842,That chirpy songbird Britney Spears has popped up with more mindless drivel .,0
35542,1674,"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .",0
145745,7922,"In the end , there is n't much to it .",0
143667,7797,"Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence .",0
39691,1895,"Cold , Sterile And Lacking Any Color Or Warmth .",0
142933,7759,The whole mess boils down to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years . ',0
149978,8168,"After you laugh once -LRB- maybe twice -RRB- , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0
78646,4048,"... feels as if -LRB- there 's -RRB- a choke leash around your neck so director Nick Cassavetes can give it a good , hard yank whenever he wants you to feel something .",0
87352,4531,Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,0
71207,3634,Most of the storylines feel like time fillers between surf shots .,0
81573,4207,"Despite bearing the Paramount imprint , it 's a bargain-basement European pickup .",0
93849,4896,It is n't that Stealing Harvard is a horrible movie -- if only it were that grand a failure !,0
109815,5818,"Many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and I do n't think that A.C. will help this movie one bit .",0
149097,8113,It aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .,0
22837,1034,Highly uneven and inconsistent ... Margarita Happy Hour kinda resembles the el cheapo margaritas served within .,0
144111,7822,Glazed with a tawdry B-movie scum .,0
155428,8508,"As exciting as all this exoticism might sound to the typical Pax viewer , the rest of us will be lulled into a coma .",0
111638,5925,You 'll just have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery .,0
65580,3323,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",0
82179,4241,"Bread , My Sweet has so many flaws it would be easy for critics to shred it .",0
35337,1662,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag .",0
110394,5848,You 'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .,0
5877,235,"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",0
146243,7952,"A chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` In space , no one can hear you snore . '",0
40790,1955,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .,0
22308,1004,"None of this is very original , and it is n't particularly funny .",0
60376,3049,Viewers will need all the luck they can muster just figuring out who 's who in this pretentious mess .,0
117469,6269,It 's kind of sad that so many people put so much time and energy into this turkey .,1
88641,4606,"This odd , distant Portuguese import more or less borrows from Bad Lieutenant and Les Vampires , and comes up with a kind of art-house gay porn film .",1
44351,2150,"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",1
39515,1887,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",1
8894,371,Translation : ` We do n't need to try very hard . ',1
27776,1276,"All the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1
17137,744,"Van Wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest .",1
150364,8191,May offend viewers not amused by the sick sense of humor .,1
68785,3494,"Although God Is Great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film .",1
145275,7894,Too bad Kramer could n't make a guest appearance to liven things up .,1
93260,4863,This is n't a new idea .,1
11496,496,"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",1
115779,6170,"Jacobi , the most fluent of actors , is given relatively dry material from Nijinsky 's writings to perform , and the visuals , even erotically frank ones , become dullingly repetitive .",1
43503,2103,"A pale Xerox of other , better crime movies .",1
77910,4008,"Too much power , not enough puff .",1
150311,8187,"What Jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery",1
97073,5075,"A boring masquerade ball where normally good actors , even Kingsley , are made to look bad .",1
28920,1340,Becomes the last thing you would expect from a film with this title or indeed from any Plympton film : boring .,1
149274,8123,"Too much of the movie feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks .",1
122361,6559,Collapses under its own meager weight .,1
62760,3174,"entertaining enough , but nothing new",1
47845,2332,"The whole thing 's fairly lame , making it par for the course for Disney sequels .",1
54127,2689,"I never thought I 'd say this , but I 'd much rather watch teens poking their genitals into fruit pies !",1
56081,2806,Odd and weird .,1
23749,1080,"The direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",1
60588,3059,... the story simply putters along looking for astute observations and coming up blank .,1
141734,7689,Witless and utterly pointless .,1
71807,3664,"Seemingly disgusted with the lazy material and the finished product 's unshapely look , director Fisher Stevens inexplicably dips key moments from the film in Waking Life water colors .",1
111484,5915,It 's hard to pity the ` plain ' girl who becomes a ravishing waif after applying a smear of lip-gloss .,1
99735,5233,The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,1
90774,4724,"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .",1
36243,1713,The jokes are telegraphed so far in advance they must have been lost in the mail .,1
51252,2523,"The weird thing about The Santa Clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally .",1
17109,743,"With all the sympathy , empathy and pity fogging up the screen ... His Secret Life enters the land of unintentional melodrama and tiresome love triangles .",1
151670,8275,"I 've seen some bad singer-turned actors , but Lil Bow Wow takes the cake .",1
68176,3461,The fact that it is n't very good is almost beside the point .,1
56779,2854,"The most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine .",1
41117,1971,One suspects that Craven endorses They simply because this movie makes his own look much better by comparison .,1
101598,5347,"A distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze .",1
118982,6360,"Releasing a film with the word ` dog ' in its title in January lends itself to easy jokes and insults , and Snow Dogs deserves every single one of them .",1
140181,7607,-LRB- Seems -RRB- even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,1
57277,2886,Cattaneo reworks the formula that made The Full Monty a smashing success ... but neglects to add the magic that made it all work .,1
143780,7803,"Just a string of stale gags , with no good inside dope , and no particular bite .",1
45568,2215,"What with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time .",1
9843,411,A movie like The Guys is why film criticism can be considered work .,1
127500,6859,"Pretty much sucks , but has a funny moment or two .",1
20520,917,"Sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor Hermocrates and Leontine pathetically compare notes about their budding amours .",1
76239,3912,Queen of the Damned is too long with too little going on .,1
65710,3331,An average B-movie with no aspirations to be anything more .,1
80365,4141,I ca n't say this enough : This movie is about an adult male dressed in pink jammies .,1
25006,1140,And that is where Ararat went astray .,1
41069,1969,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",1
12248,524,Goes on and on to the point of nausea .,1
10360,436,The rollerball sequences feel sanitised and stagey .,1
128788,6927,"It 's a strange film , one that was hard for me to warm up to .",1
132348,7137,"Wimps out by going for that PG-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted .",1
141220,7660,"Lucy 's a dull girl , that 's all .",1
41345,1986,"Steve Oedekerk is , alas , no Woody Allen .",1
153063,8358,... its solemn pretension prevents us from sharing the awe in which it holds itself .,1
101734,5356,"A worthy idea , but the uninspired scripts , acting and direction never rise above the level of an after-school TV special .",1
152383,8315,"And second , what 's with all the shooting ?",1
112163,5956,"Barely manages for but a few seconds over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference .",1
75315,3864,"Despite engaging offbeat touches , Knockaround Guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast .",1
128160,6896,"A fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .",1
97969,5132,"... expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .",1
119337,6380,"By the time the surprise ending is revealed , interest can not be revived .",1
71397,3642,The film runs on a little longer than it needs to -- Muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional .,1
66513,3376,"Klein , charming in comedies like American Pie and dead-on in Election , delivers one of the saddest action hero performances ever witnessed .",1
37149,1762,"... the good and different idea -LRB- of middle-aged romance -RRB- is not handled well and , except for the fine star performances , there is little else to recommend `` Never Again . ''",1
121669,6520,"The criticism never rises above easy , cynical potshots at morally bankrupt characters ...",1
46711,2273,-- is a crime that should be punishable by chainsaw .,1
39416,1883,"Throwing in everything except someone pulling the pin from a grenade with his teeth , Windtalkers seems to have ransacked every old World War II movie for overly familiar material .",1
129777,6985,"Unfortunately , Carvey 's rubber-face routine is no match for the insipid script he has crafted with Harris Goldberg .",1
141070,7652,Disappointing in comparison to other recent war movies ... or any other John Woo flick for that matter .,1
33682,1582,"Apparently designed as a reverie about memory and regret , but the only thing you 'll regret is remembering the experience of sitting through it .",1
46165,2247,... The movie feels stitched together from stock situations and characters from other movies .,1
53509,2653,"Despite its visual virtuosity , ` Naqoyqatsi ' is banal in its message and the choice of material to convey it .",1
150435,8196,A cautionary tale about the folly of superficiality that is itself endlessly superficial .,1
39362,1880,Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,1
9708,404,"Despite slick production values and director Roger Michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .",1
2013,77,The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,1
96203,5026,It 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .,1
55590,2776,Taken outside the context of the current political climate -LRB- see : terrorists are more evil than ever ! -RRB-,1
12608,542,The movie is too amateurishly square to make the most of its own ironic implications .,1
56488,2837,"Formulaic to the 51st power , more like .",1
134148,7240,Resembles a soft porn Brian De Palma pastiche .,1
104116,5490,"Skip this dreck , rent Animal House and go back to the source .",1
72383,3700,Can I admit XXX is as deep as a Petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?,1
1918,71,"But it has an ambition to say something about its subjects , but not a willingness .",1
56484,2836,Tends to plod .,1
22255,1000,Action - mechanical .,1
119174,6370,"While this one gets off with a good natured warning , future Lizard endeavors will need to adhere more closely to the laws of laughter",1
63069,3191,"Carrying this wafer-thin movie on his nimble shoulders , Chan wades through putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master . '",1
7555,307,A well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,1
22939,1038,"Queen of the Damned as you might have guessed , makes sorry use of Aaliyah in her one and only starring role -- she does little here but point at things that explode into flame .",1
60126,3033,"While easier to sit through than most of Jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points .",1
110132,5832,I have n't seen such self-amused trash since Freddy Got Fingered .,1
32882,1540,"An ugly , revolting movie .",1
4719,180,An awkwardly contrived exercise in magic realism .,1
122573,6575,What 's really sad is to see two Academy Award winning actresses -LRB- and one Academy Award winning actor -RRB- succumb to appearing in this junk that 's TV sitcom material at best .,1
41485,1996,"Offers big , fat , dumb laughs that may make you hate yourself for giving in .",1
138563,7505,This film biggest problem ?,1
26874,1233,It is n't scary .,1
74321,3808,The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .,1
32661,1531,At once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance .,1
19555,859,An unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a VH1 Behind the Music episode .,1
118898,6353,Imagine Susan Sontag falling in love with Howard Stern .,1
109301,5789,"Unfortunately , a cast of competent performers from movies , television and the theater are cast adrift in various New York City locations with no unifying rhythm or visual style .",1
37864,1801,"Never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three .",1
97532,5100,Video games are more involving than this mess .,1
88833,4615,"It stars schticky Chris Rock and stolid Anthony Hopkins , who seem barely in the same movie .",1
142480,7734,A seriously bad film with seriously warped logic by writer-director Kurt Wimmer at the screenplay level .,1
128754,6925,"Every joke is repeated at least -- annoying , is n't it ?",1
147898,8048,Hip-hop prison thriller of stupefying absurdity .,1
77546,3989,Family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance .,1
126329,6791,The dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .,1
49460,2421,Why would anyone cast the magnificent Jackie Chan in a movie full of stunt doubles and special effects ?,1
6221,247,Feral and uncomfortable .,1
11621,502,"The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .",1
39361,1879,Why ?,1
7071,285,"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .",1
70765,3608,"Scherfig , who has had a successful career in TV , tackles more than she can handle .",1
127563,6862,"What Madonna does here ca n't properly be called acting -- more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once .",1
122488,6570,"That neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .",1
132314,7134,"It 's mildly sentimental , unabashedly consumerist ... studiously inoffensive and completely disposable .",1
123062,6605,An opportunity missed .,1
77961,4012,These are textbook lives of quiet desperation .,1
136136,7357,I spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits,1
89888,4678,The movie is about as deep as that sentiment .,1
155646,8519,With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .,1
27039,1243,Boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome .,1
83495,4315,Though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .,2
33191,1556,A technically well-made suspenser ... but its abrupt drop in IQ points as it races to the finish line proves simply too discouraging to let slide .,2
89332,4644,"Even though it is infused with the sensibility of a video director , it does n't make for completely empty entertainment",2
34234,1609,"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd 's film offers little else of consequence .",2
112337,5966,"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",2
118109,6309,The best drug addition movies are usually depressing but rewarding .,2
26343,1207,Absurdities and,2
154612,8454,"The film did n't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due .",2
124579,6694,So verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-TV movie .,2
104912,5542,Some stunning visuals -- and some staggeringly boring cinema .,2
46429,2258,"There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but Kang tacks on three or four more endings .",2
29681,1375,Does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of Richard Nixon .,2
40445,1934,"In -LRB- screenwriter -RRB- Charlie Kaufman 's world , truth and fiction are equally strange , and his for the taking .",2
122068,6543,"A violent initiation rite for the audience , as much as it is for Angelique , the -LRB- opening -RRB- dance guarantees Karmen 's enthronement among the cinema 's memorable women .",2
71946,3674,Please see previous answer .,2
29898,1386,The simplicity of The Way Home has few equals this side of Aesop,2
100088,5252,"Yet another movie which presumes that high school social groups are at war , let alone conscious of each other 's existence .",2
131639,7095,"In both the writing and cutting , it does not achieve the kind of dramatic unity that transports you .",2
78204,4024,"The characters are interesting and the relationship between Yosuke and Saeko is worth watching as it develops , but there 's not enough to the story to fill two hours .",2
34154,1605,` Snow Dogs ' has both .,2
149207,8119,As happily glib and vicious as its characters .,2
69528,3534,Helps to remind the First World that HIV\/AIDS is far from being yesterday 's news .,2
135144,7295,"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",2
38933,1857,Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering .,2
56885,2862,A lot of its gags and observations reflect a woman 's point-of-view .,2
78335,4031,This film was made by and for those folks who collect the serial killer cards and are fascinated by the mere suggestion of serial killers .,2
149175,8117,This is amusing for about three minutes .,2
125472,6741,The name says it all .,2
104309,5503,"For all the complications , it 's all surprisingly predictable .",2
59757,3013,"Sean Penn , you owe Nicolas Cage an apology .",2
155246,8498,The culmination of everyone 's efforts is given life when A Selection appears in its final form -LRB- in `` Last Dance '' -RRB- .,2
31432,1471,A tasty slice of droll whimsy .,2
54536,2711,"Leading a double life in an American film only comes to no good , but not here .",2
40873,1958,Famuyiwa 's feature,2
43121,2083,It bites hard .,2
27410,1259,"About a Boy vividly recalls the Cary Grant of Room for One More , Houseboat and Father Goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him .",2
131101,7065,And I expect much more from a talent as outstanding as director Bruce McCulloch .,2
125367,6737,"This engrossing , characteristically complex Tom Clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .",2
113695,6043,"I admit it , I hate to like it .",2
54925,2735,Really dumb but occasionally really funny .,2
94002,4905,"It 's a brilliant , honest performance by Nicholson , but the film is an agonizing bore except when the fantastic Kathy Bates turns up .",2
122860,6591,"Freundlich 's made -LRB- Crudup -RRB- a suburban architect , and a cipher .",2
35647,1679,"Spider-Man is in the same category as X-Men - occasionally brilliant but mostly average , showing signs of potential for the sequels , but not giving us much this time around .",2
108959,5768,"The farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .",2
118675,6343,"It 's harmless , diverting fluff .",2
51849,2558,A preposterously melodramatic paean to gang-member teens in Brooklyn circa 1958 .,2
155837,8531,"Even if you have no interest in the gang-infested , East-vs .",2
136246,7366,"Both flawed and delayed , Martin Scorcese 's Gangs of New York still emerges as his most vital work since GoodFellas .",2
73488,3756,"Silly , loud and goofy .",2
92766,4832,"Instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground .",2
127606,6864,"A different kind of love story - one that is dark , disturbing , painful to watch , yet compelling .",2
88255,4584,"It 's better than mid-range Steven Seagal , but not as sharp as Jet Li on rollerblades .",2
11118,477,A puzzling experience .,2
92079,4793,"It has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .",2
92692,4829,It 's clear that Mehta simply wanted to update her beloved genre for the thousands of Indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack 'em in on the subcontinent .,2
28774,1334,Trades run-of-the-mill revulsion for extreme unease .,2
130853,7051,"Alas , the black-and-white archival footage of their act showcases pretty mediocre shtick .",2
149677,8148,The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .,2
119845,6411,It 's an often-cute film but either needs more substance to fill the time or some judicious editing .,2
47310,2306,in period costume and with a bigger budget .,2
117848,6293,Neither a rousing success nor a blinding embarrassment .,2
